#TAG,NAME IN REPO (or git url),PURPOSE,url|dir|zip
,alacritty,"is a fast and costumizable terminal",
,dialog,"for displaying messages in terminal",
,dmenu,"is a minimal program launcher",
,dunst,"is a suckless notification system",
,fd,"is a tool to search through filenames",
,feh,"is a versatile image viewer",
,fzf,"is a command-line fuzzy finder",
,git,"is a free and open source distributed version cotrol system",
,htop,"is a process viewer for Linux",
,i3-gaps,"is a window manager with gaps",
,i3lock,"for locking the screen",
,man-db,"for listing the manual page",
,neovim,"a tidier vim with some useful features",
,network-manager-applet,"for wi-fi",
,networkmanager,"for wi-fi",
,nodejs,"for language servers",
,npm,"for language servers",
,pari,"is a programming language designed for mathematics",
,picom,"is a compositor",
,primesieve,"is an extremely fast prime counter/generator",
,pulseaudio-alsa,"is the audio system",
,redshift,"is a color temperature adjuster",
,ripgrep,"is a faster and more intuitive replacement for grep",
,rsync,"for fast file-copying and restoring backups",
,texlive-most,"for writing and compiling with latex",
,tree,"is a recursive directory listing program",
,unzip,"unzips zips",
,wget,"an non-interactive network downloader",
,wireless_tools,"for wi-fi",
,wpa_supplicant,"for wi-fi",
,xclip,"is a command line interface to X selections (clipboard)",
,xdotool,"is a dependency for the i3-layout-saving script",
,xorg-server,"is the graphical server",
,xorg-xinit,"starts the graphical server",
,xorg-xrandr,"for managing (multiple) screens",
,zathura,"is a costumizable pdf-viewer",
,zathura-pdf-mupdf,"allows pdf compatibility in zathura",
,zsh,"the Z shell",
